Edad,Zona,Estado Civil,Provincia,Fecha Infracción,Canton,Hora Infraccion,Circuito,Nacionalidad,tipo_muert_matriz,_id,Distrito,Sexo,lat,lon
22,ZONA 1,SOLTERO,ESMERALDAS,2014-04-30T00:00:00,ESMERALDAS,2015-12-02T13:40:00,CENTRO,ECUADOR,Homicidios,1,ESMERALDAS,MASCULINO,0.9581500073,-79.5449208996
51,ZONA 6,SOLTERO,AZUAY,2014-04-30T00:00:00,SEVILLA_DE_ORO,null,SEVILLA DE ORO,ECUADOR,Homicidios,2,PAUTE,MASCULINO,-2.7953813501,-78.7749567813
36,ZONA 5,SOLTERO,LOS_RIOS,2014-02-05T00:00:00,QUEVEDO,2015-12-02T04:30:00,DIVINO NIÑO,ECUADOR,Femicidios,3,QUEVEDO,FEMENINO,-1.0321780756,-79.4048823687
17,ZONA 8,SOLTERO,GUAYAS,2014-02-05T00:00:00,GUAYAQUIL,2015-12-02T01:00:00,MAPASINGUE,ECUADOR,Asesinatos,4,FLORIDA,MASCULINO,0.3580387677,-78.0276289428
20,ZONA 7,SOLTERO,LOJA,2014-03-05T00:00:00,GONZANAMA,2015-12-02T19:50:00,GONZANAMA,ECUADOR,Asesinatos,5,CALVAS,MASCULINO,-4.3265237269,-79.4520481924
38,ZONA 5,SOLTERO,LOS_RIOS,2014-03-05T00:00:00,VINCES,2015-12-02T23:00:00,ABRAS DE MANTEQUILLA,ECUADOR,Asesinatos,6,VINCES,MASCULINO,-1.5499876543,-79.6759469659
24,ZONA 3,SOLTERO,COTOPAXI,2014-01-05T00:00:00,LATACUNGA,2015-12-02T21:00:00,TERMINAL TERRESTRE,ECUADOR,Asesinatos,7,LATACUNGA,MASCULINO,-0.7598891403,-78.451684303
65,ZONA 2,CASADO,PICHINCHA,2014-04-05T00:00:00,RUMINAHUI,2015-12-02T19:15:00,SAN RAFAEL,ECUADOR,Asesinatos,8,RUMINAHUI - MEJIA,MASCULINO,-0.265526914,-78.6210183762
82,ZONA 6,VIUDO,AZUAY,2014-03-05T00:00:00,GIRON,null,GIRON,ECUADOR,Asesinatos,9,GIRON,FEMENINO,-2.7691806532,-78.7861644229
21,ZONA 8,SOLTERO,GUAYAS,2014-04-05T00:00:00,GUAYAQUIL,2015-12-02T23:00:00,CISNE,ECUADOR,Asesinatos,10,PORTETE,MASCULINO,-2.1307488223,-79.4745624599
28,ZONA 8,SOLTERO,GUAYAS,2014-03-05T00:00:00,GUAYAQUIL,2015-12-02T19:23:00,MARTHA DE ROLDOS,ECUADOR,Homicidios,11,FLORIDA,MASCULINO,0.362503374,-78.2421640355
53,ZONA 8,SOLTERO,GUAYAS,2014-03-05T00:00:00,GUAYAQUIL,2015-12-02T22:00:00,ANTEPARA,ECUADOR,Homicidios,12,9 DE OCTUBRE,MASCULINO,-2.125529914,-79.5638153256
19,ZONA 8,SOLTERO,GUAYAS,2014-04-05T00:00:00,GUAYAQUIL,2015-12-02T02:30:00,TRINITARIA SUR,ECUADOR,Homicidios,13,ESTEROS,MASCULINO,-2.6299491433,-80.4079775506
27,ZONA 9,SOLTERO,PICHINCHA,2014-05-05T00:00:00,QUITO,2015-12-02T05:45:00,MAGDALENA,ECUADOR,Homicidios,14,ELOY ALFARO,MASCULINO,-0.2131911558,-78.4013852828
18,ZONA 3,SOLTERO,CHIMBORAZO,2014-04-30T00:00:00,RIOBAMBA,2015-12-02T00:00:00,QUIMIAG,ECUADOR,Homicidios,15,RIOBAMBA,FEMENINO,-1.6574892672,-78.5403070148
26,ZONA 8,SOLTERO,GUAYAS,2014-05-05T00:00:00,GUAYAQUIL,2015-12-02T12:00:00,TRINITARIA NORTE,ECUADOR,Asesinatos,16,ESTEROS,MASCULINO,-2.6315023254,-80.3222299503
27,ZONA 5,SOLTERO,LOS_RIOS,2014-05-05T00:00:00,QUEVEDO,2015-12-02T22:20:00,CONTROL,ECUADOR,Asesinatos,17,QUEVEDO,MASCULINO,-1.0189873928,-79.4021406659
