city,lat,lon
ESMERALDAS,0.9581500073,-79.5449208996
AZUAY,-2.7953813501,-78.7749567813
LOS_RIOS,-1.0321780756,-79.4048823687
GUAYAS,0.3580387677,-78.0276289428
LOJA,-4.3265237269,-79.4520481924
LOS_RIOS,-1.5499876543,-79.6759469659
COTOPAXI,-0.7598891403,-78.451684303
PICHINCHA,-0.265526914,-78.6210183762
AZUAY,-2.7691806532,-78.7861644229
GUAYAS,-2.1307488223,-79.4745624599
GUAYAS,0.362503374,-78.2421640355
GUAYAS,-2.125529914,-79.5638153256
GUAYAS,-2.6299491433,-80.4079775506
PICHINCHA,-0.2131911558,-78.4013852828
CHIMBORAZO,-1.6574892672,-78.5403070148
GUAYAS,-2.6315023254,-80.3222299503
LOS_RIOS,-1.0189873928,-79.4021406659
LOS_RIOS,-0.8905638667,-79.5532562729
LOS_RIOS,-1.0288092994,-79.4171053683
ORELLANA,-0.6903641202,-77.2137682597
PICHINCHA,-0.1644013765,-78.3816185633
PICHINCHA,-0.1745083583,-78.5414137205
SUCUMBIOS,-0.1477971282,-76.2491179881
GUAYAS,-2.1181544458,-79.6378616916
PICHINCHA,0.1454058056,-78.894112406
LOS_RIOS,-1.0313134308,-79.5423055612
ESMERALDAS,0.9754943587,-79.6612205203
GUAYAS,0.3567951741,-78.0762668572
GUAYAS,0.3681748652,-78.0319494694
AZUAY,-2.9254847837,-78.9759217681
GUAYAS,-2.1311207549,-79.9744930879
ESMERALDAS,0.3274396532,-79.2673645576
PICHINCHA,-0.2237748952,-78.4428581144
GUAYAS,0.3810962614,-78.0489349325
GUAYAS,-1.9807774618,-79.7188361538
GUAYAS,0.36828569,-78.3168533555
GUAYAS,0.3595973634,-78.0330602942
SANTA_ELENA,-2.2566253748,-80.584986985
GUAYAS,-2.1152555524,-79.5378487429
GUAYAS,0.3503832637,-78.2936364607
ESMERALDAS,0.9741970262,-79.6259257431
LOS_RIOS,-1.7876020559,-79.5719425025
NAPO,-1.0109072225,-77.9692889667
PICHINCHA,-0.1628833482,-78.3387788871
GUAYAS,-2.1065675606,-79.5767154574
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2371661695,-79.1857129959
PICHINCHA,0.1556365871,-78.7956520544
GUAYAS,-2.6486533637,-80.3431837237
LOS_RIOS,-1.0305430822,-79.3622388389
LOS_RIOS,-1.5642367272,-79.6646627968
GUAYAS,-2.1389584335,-79.5893892384
TUNGURAHUA,-1.2641971081,-78.6105698802
ESMERALDAS,1.283192859,-78.7704587712
EL_ORO,-3.3278104997,-79.796015719
LOS_RIOS,-1.5596142292,-79.661087904
LOS_RIOS,-1.0296358424,-79.5244553532
PICHINCHA,0.1534160545,-78.7143506831
PICHINCHA,0.1422112733,-78.8864329946
PICHINCHA,0.1450436356,-78.7558143616
PICHINCHA,0.1580116887,-78.6970569525
PICHINCHA,-0.1699317422,-78.511255646
CANAR,-2.420499337,-79.2609869552
LOS_RIOS,-1.0165466079,-79.3986689857
MANABI,-0.841826694,-79.7165044735
TUNGURAHUA,-1.256048239,-78.5250214508
GUAYAS,-2.1782413082,-78.8878503829
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2390550914,-79.1670183476
GUAYAS,-2.1586454815,-79.8302468964
COTOPAXI,-0.7568512164,-78.5187195114
CHIMBORAZO,-1.6519292414,-78.5959808609
EL_ORO,-3.4579842351,-79.8939536633
PICHINCHA,-0.2099634725,-78.5487385148
PICHINCHA,-0.0955810869,-78.3998839175
CANAR,-2.5563089188,-78.9518551119
MANABI,-0.9701737425,-80.6841343338
PICHINCHA,-0.1940732327,-78.5404319051
LOS_RIOS,-1.5662757141,-79.6761172485
GUAYAS,-1.9730822163,-79.9426713332
PICHINCHA,-0.1946848493,-78.5977812588
CANAR,-2.423548858,-79.29092436
CANAR,-2.4215910971,-79.3261968745
CANAR,-2.7456063441,-78.9252378767
ESMERALDAS,0.9519999662,-79.5553528721
MANABI,-1.3603066369,-80.6752248053
PICHINCHA,0.1455961635,-78.7752680906
AZUAY,-2.8724284929,-79.0567984303
GUAYAS,0.3517454631,-77.9974014894
NAPO,-1.0027684355,-77.7043805376
EL_ORO,-3.3255509777,-79.8999583218
GUAYAS,-1.9577232428,-79.8799989055
SUCUMBIOS,-0.1445716985,-76.2412487534
ESMERALDAS,0.3240807317,-79.3806036218
COTOPAXI,-0.9354269088,-79.2364301727
PICHINCHA,-0.2031993214,-78.5306579825
PICHINCHA,0.136282327,-78.7940915065
GUAYAS,-2.0644699903,-79.9353658317
SUCUMBIOS,0.0960465662,-76.9580747859
SUCUMBIOS,0.0887695488,-76.8827602732
GUAYAS,-1.3618184288,-79.9396101588
GUAYAS,0.3786026389,-78.091653886
GUAYAS,-1.9605320542,-79.8705880541
PICHINCHA,-0.2121981222,-78.4490373928
ESMERALDAS,1.2914725781,-78.7879218646
EL_ORO,-3.2538476772,-79.9249215631
EL_ORO,-3.2619442216,-80.0220519314
GUAYAS,-2.1045073442,-79.5968434512
SUCUMBIOS,0.1072979273,-76.8226531106
GUAYAS,-2.1188507567,-79.6106482792
GUAYAS,-1.9806309793,-79.8458072441
GUAYAS,-2.1331692645,-79.5233234951
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2379345098,-79.1860138511
AZUAY,-3.0541197091,-79.7814255813
LOS_RIOS,-1.8032452163,-79.542467704
GUAYAS,-2.6340523304,-80.3864132441
GUAYAS,-2.6324595286,-80.2790700958
GUAYAS,0.3736680349,-78.2036385366
ESMERALDAS,0.3201482993,-79.3454342437
GUAYAS,0.3749618423,-78.0373839943
GUAYAS,-2.1606985717,-79.8354428202
GUAYAS,-2.1770660032,-78.8877339764
AZUAY,-2.910290325,-78.8914388028
IMBABURA,0.3531324948,-78.1384895456
MANABI,-0.8340770987,-79.7944107019
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2379707524,-79.1635135004
GUAYAS,-1.0690990183,-79.7112386008
GUAYAS,-1.9535073693,-79.8523929171
GUAYAS,-2.1775987157,-78.8859068077
PICHINCHA,-0.1207122973,-78.5257102806
PICHINCHA,0.0687792932,-78.6183212675
